,subject,image,image_set,image_num,judgment,attention,caption,all
0,1,COCO_test2014_000000141633.mp4,test,141633,1,I focused primarily on the background. I could have paid more attention to the middle of the image.,"I focused on the presence of a street but didn't notice that there was more than one person on it. I also mentioned a woman holding a cell phone, which was not visible in the image.","I focused primarily on the background. I could have paid more attention to the middle of the image.I focused on the presence of a street but didn't notice that there was more than one person on it. I also mentioned a woman holding a cell phone, which was not visible in the image."
1,1,COCO_test2014_000000154115.mp4,test,154115,0,"I focused on the sides of the image and then the background, which I captured nicely.",I saw the person on the left/right side of the surfboard riding waves in the ocean.,"I focused on the sides of the image and then the background, which I captured nicely.I saw the person on the left/right side of the surfboard riding waves in the ocean."
2,1,COCO_test2014_000000219540.mp4,test,219540,0,I did a good job focusing on the middle of the picture as well as the sides.,"I acknowledged the two monitors on either side of the laptop, as well as the laptop in the middle.","I did a good job focusing on the middle of the picture as well as the sides.I acknowledged the two monitors on either side of the laptop, as well as the laptop in the middle."
3,1,COCO_test2014_000000238852.mp4,test,238852,1,I didn't focus on the background and incorrectly focused only on the middle.,"I said that the woman was sitting on the horse, which was wrong since she was standing next to the horse.","I didn't focus on the background and incorrectly focused only on the middle.I said that the woman was sitting on the horse, which was wrong since she was standing next to the horse."
4,1,COCO_test2014_000000244524.mp4,test,244524,1,"I did a good job focusing on the middle object, but then failed to focus on the background.","I did a good job describing the white dog, but I incorrectly said the dog was lying on a wooden table. In reality, the dog was lying atop red apples.","I did a good job focusing on the middle object, but then failed to focus on the background.I did a good job describing the white dog, but I incorrectly said the dog was lying on a wooden table. In reality, the dog was lying atop red apples."
5,1,COCO_test2014_000000412646.mp4,test,412646,0,I focused correctly on the background and the middle of the image.,I took note of how there was more than one giraffe and also where the giraffes were standing—in grass.,I focused correctly on the background and the middle of the image.I took note of how there was more than one giraffe and also where the giraffes were standing—in grass.
6,1,COCO_test2014_000000517662.mp4,test,517662,0,I focused on the background and then shifted my attention to the middle of the image. I fixated on all parts of the photo effectively.,"I first took notice of the back left, the person in the image, and then shifted my attention to the bunches of bananas the person was standing next to.","I focused on the background and then shifted my attention to the middle of the image. I fixated on all parts of the photo effectively.I first took notice of the back left, the person in the image, and then shifted my attention to the bunches of bananas the person was standing next to."
7,1,COCO_train2014_000000010403.mp4,train,10403,0,I focused on the background of the image as much as the middle of the image.,I saw how there was a bunch of fruit sitting atop a table.,I focused on the background of the image as much as the middle of the image.I saw how there was a bunch of fruit sitting atop a table.
8,1,COCO_train2014_000000116789.mp4,train,116789,0,"I focused on the middle of the image, and since there wasn't really anywhere else to look, I did a good job.",I saw the large building and the clock that was atop it.,"I focused on the middle of the image, and since there wasn't really anywhere else to look, I did a good job.I saw the large building and the clock that was atop it."
9,1,COCO_train2014_000000136375.mp4,train,136375,1,I was too hyper-focused on the main objects in the middle rather than where the objects were located. I failed to look around the edges.,"I focused too much on the middle, so I described how the zebras were standing next to each other. I didn't discuss where they were standing, like in the savanna.","I was too hyper-focused on the main objects in the middle rather than where the objects were located. I failed to look around the edges.I focused too much on the middle, so I described how the zebras were standing next to each other. I didn't discuss where they were standing, like in the savanna."
10,1,COCO_train2014_000000166236.mp4,train,166236,0,"I paid attention to all aspects of the picture, including the background and the smaller objects.","I did a nice job of noticing the body of water that took up the majority of the image, as well as the people in it.","I paid attention to all aspects of the picture, including the background and the smaller objects.I did a nice job of noticing the body of water that took up the majority of the image, as well as the people in it."
